"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy"
"Dec",5,"Friday","Mazda","Urban","Tuesday","Jan",1,"Male","Married",41,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,191,1,400,4,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Apr",3,"Monday","Toyota","Urban","Tuesday","Apr",4,"Male","Married",26,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,339,12,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Apr",3,"Tuesday","Ford","Urban","Thursday","Apr",5,"Male","Married",62,"Policy Holder","Sedan - Liability","Sport","40000 to 59000",0,681,3,400,4,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Jan",2,"Thursday","Toyota","Urban","Thursday","Jan",2,"Male","Married",51,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,565,9,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",3,"Friday","Pontiac","Urban","Wednesday","Mar",4,"Male","Married",44,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,42,15,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","3 to 4",1994,"All Perils"
"Jul",4,"Monday","Pontiac","Urban","Tuesday","Aug",1,"Male","Married",51,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,588,15,400,1,"more than 30","more than 30","none","6 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",3,"Saturday","Toyota","Urban","Monday","Jan",5,"Male","Single",28,"Policy Holder","Sedan - Collision","Sedan","less than 20000",1,618,8,400,3,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Mar",2,"Friday","Mercury","Urban","Friday","Mar",2,"Female","Single",33,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,313,13,400,2,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Nov",4,"Sunday","Pontiac","Urban","Monday","Nov",4,"Male","Single",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,833,10,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",1,"Tuesday","Pontiac","Urban","Friday","Oct",2,"Male","Married",31,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,312,11,400,4,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Jun",2,"Wednesday","Toyota","Urban","Tuesday","Jun",3,"Male","Married",29,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,807,5,400,1,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Apr",2,"Friday","Mazda","Urban","Monday","Apr",2,"Male","Married",36,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,764,7,400,2,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Jan",3,"Friday","Pontiac","Rural","Monday","Feb",2,"Male","Married",43,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,841,2,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1994,"Liability"
"Dec",5,"Thursday","Pontiac","Urban","Monday","Jan",3,"Male","Single",21,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,301,7,400,3,"more than 30","more than 30","2 to 4","3 years","26 to 30","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",2,"Tuesday","Toyota","Urban","Thursday","Nov",3,"Male","Married",40,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,583,14,400,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Apr",3,"Friday","Pontiac","Urban","Tuesday","Apr",3,"Male","Married",59,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,50,9,400,4,"more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Aug",4,"Tuesday","Pontiac","Urban","Friday","Aug",4,"Female","Single",33,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,569,5,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Apr",1,"Sunday","Pontiac","Urban","Tuesday","Apr",4,"Male","Married",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,766,10,500,2,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","2 to 3 years","1 vehicle",1994,"Collision"
"Jan",1,"Thursday","Chevrolet","Urban","Friday","Jan",2,"Male","Married",36,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,290,1,400,2,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jan",4,"Tuesday","Ford","Urban","Wednesday","Jan",4,"Male","Married",42,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,35,12,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",1,"Wednesday","Toyota","Urban","Monday","Jan",2,"Male","Married",33,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,277,10,400,2,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",5,"Monday","Ford","Urban","Thursday","Feb",1,"Male","Married",61,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,15,3,400,1,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jul",4,"Monday","Toyota","Urban","Wednesday","Jul",4,"Female","Single",31,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,886,10,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","Yes","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Oct",2,"Tuesday","Honda","Urban","Thursday","Oct",3,"Male","Married",30,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,37,11,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jan",4,"Friday","Chevrolet","Urban","Wednesday","Jan",4,"Female","Single",37,"Third Party","Sedan - Liability","Sport","more than 69000",0,163,5,400,3,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Oct",3,"Thursday","Pontiac","Urban","Thursday","Oct",4,"Male","Married",60,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,133,6,400,4,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Jul",3,"Thursday","Honda","Urban","Friday","Jul",3,"Male","Married",32,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,328,13,400,3,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jun",3,"Tuesday","Toyota","Rural","Wednesday","Jun",4,"Male","Married",28,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,433,7,400,2,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jun",2,"Monday","Honda","Urban","Thursday","Jun",3,"Male","Married",59,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,370,8,400,1,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","more than 5","no change","3 to 4",1994,"Collision"
"Jan",4,"Thursday","Pontiac","Urban","Wednesday","Apr",2,"Male","Married",48,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,891,6,400,4,"more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Aug",1,"Wednesday","Mazda","Urban","Friday","Aug",1,"Male","Married",34,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,863,8,400,2,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Apr",2,"Friday","Mazda","Urban","Tuesday","May",1,"Male","Married",40,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,21,3,400,1,"more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jan",1,"Saturday","Chevrolet","Urban","Monday","Jan",1,"Male","Married",36,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,189,14,400,1,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jun",2,"Saturday","Toyota","Rural","Friday","Jul",1,"Male","Married",65,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,4,4,400,2,"more than 30","more than 30","1","more than 7","51 to 65","Yes","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Apr",3,"Thursday","Chevrolet","Urban","Thursday","Apr",3,"Male","Married",32,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,323,15,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Nov",3,"Tuesday","Pontiac","Urban","Tuesday","Nov",3,"Male","Married",41,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,671,12,400,3,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",3,"Friday","Honda","Urban","Thursday","Apr",2,"Male","Single",0,"Third Party","Sedan - Liability","Sport","more than 69000",0,661,3,400,3,"more than 30","more than 30","1","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Aug",3,"Friday","Honda","Urban","Friday","Aug",3,"Male","Married",43,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,909,12,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jul",4,"Monday","Mazda","Urban","Tuesday","Jul",4,"Male","Married",64,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,606,8,400,2,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Sep",4,"Sunday","Toyota","Urban","Tuesday","Oct",2,"Male","Married",29,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,342,4,700,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"May",3,"Sunday","Accura","Urban","Friday","May",4,"Male","Married",42,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,28,1,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Jan",3,"Wednesday","Mazda","Urban","Thursday","Jan",3,"Male","Single",47,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,706,15,400,2,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Apr",1,"Wednesday","Chevrolet","Urban","Monday","Apr",2,"Male","Married",30,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,366,14,400,1,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",3,"Monday","Pontiac","Urban","Monday","Jan",4,"Male","Single",29,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,253,3,400,2,"more than 30","more than 30","1","5 years","31 to 35","No","No","External","none","4 to 8 years","2 vehicles",1994,"Collision"
"Feb",2,"Monday","Chevrolet","Urban","Tuesday","Feb",2,"Female","Married",30,"Third Party","Sedan - All Perils","Sedan","more than 69000",0,268,3,400,2,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Sep",5,"Saturday","Ford","Rural","Monday","Oct",1,"Male","Married",44,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,822,10,400,4,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Aug",5,"Sunday","Toyota","Rural","Thursday","Sep",1,"Female","Single",32,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,669,12,400,2,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jan",3,"Saturday","Mazda","Urban","Monday","Jan",3,"Female","Single",25,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,242,1,400,3,"more than 30","more than 30","2 to 4","4 years","26 to 30","No","No","External","1 to 2","under 6 months","1 vehicle",1994,"Liability"
"Sep",1,"Monday","Honda","Rural","Tuesday","Sep",1,"Male","Married",41,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,204,6,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",5,"Monday","Mazda","Urban","Thursday","Feb",1,"Male","Married",44,"Policy Holder","Sedan - Collision","Sedan","40000 to 59000",0,157,13,400,1,"more than 30","more than 30","more than 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",1,"Saturday","Toyota","Urban","Tuesday","Oct",2,"Male","Single",21,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,209,5,400,2,"more than 30","more than 30","1","5 years","26 to 30","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jun",3,"Friday","Honda","Urban","Thursday","Jul",2,"Male","Single",28,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,798,7,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Nov",3,"Monday","Pontiac","Urban","Monday","Nov",3,"Male","Married",29,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,226,2,400,2,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Mar",1,"Thursday","Pontiac","Urban","Friday","Mar",1,"Male","Married",33,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,238,11,400,1,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Jan",5,"Saturday","Honda","Urban","Monday","Jan",5,"Female","Single",33,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,155,8,400,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Nov",4,"Monday","Honda","Urban","Tuesday","Nov",4,"Male","Single",29,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,130,14,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Jan",2,"Wednesday","Pontiac","Urban","Monday","Jan",4,"Male","Married",29,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",1,557,5,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jun",3,"Wednesday","Pontiac","Rural","Thursday","Jun",3,"Male","Married",54,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,809,3,400,4,"more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Sep",2,"Wednesday","Honda","Urban","Monday","Sep",3,"Male","Single",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,812,11,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Oct",4,"Wednesday","Pontiac","Urban","Wednesday","Oct",4,"Male","Married",37,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,793,1,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Nov",3,"Monday","Honda","Urban","Monday","Dec",1,"Male","Single",28,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,723,16,400,2,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jun",2,"Tuesday","Honda","Urban","Thursday","Jun",4,"Male","Married",41,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,325,1,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Oct",2,"Tuesday","Pontiac","Urban","Thursday","Oct",3,"Male","Married",45,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,582,4,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Feb",4,"Thursday","Chevrolet","Urban","Wednesday","Mar",2,"Male","Single",27,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,484,8,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles",1994,"Liability"
"Feb",3,"Saturday","Pontiac","Urban","Monday","Feb",4,"Male","Married",54,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,853,11,400,4,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","no change","5 to 8",1994,"All Perils"
"May",4,"Monday","Mazda","Urban","Monday","May",4,"Male","Married",43,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,453,3,400,2,"more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"May",5,"Tuesday","Toyota","Rural","Wednesday","Jun",1,"Male","Single",25,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,465,11,400,1,"more than 30","more than 30","1","5 years","26 to 30","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",2,"Sunday","Toyota","Urban","Monday","Mar",3,"Male","Single",24,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,506,2,400,2,"more than 30","more than 30","1","5 years","26 to 30","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Jul",1,"Monday","Toyota","Urban","Monday","Jul",1,"Female","Single",42,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,43,12,400,4,"more than 30","more than 30","none","4 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1994,"Liability"
"Apr",4,"Thursday","Ford","Urban","Wednesday","May",1,"Male","Married",41,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,17,15,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Apr",1,"Saturday","Honda","Urban","Monday","Apr",1,"Male","Married",46,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,515,14,400,1,"more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Sep",2,"Monday","Honda","Urban","Thursday","Sep",3,"Male","Married",22,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,656,9,400,2,"more than 30","more than 30","1","5 years","26 to 30","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Feb",5,"Monday","Toyota","Urban","Tuesday","Mar",1,"Male","Married",26,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,64,13,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles",1994,"Liability"
"Apr",1,"Monday","Chevrolet","Rural","Monday","Apr",1,"Female","Married",41,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,765,1,400,4,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Feb",4,"Monday","Chevrolet","Urban","Friday","Mar",1,"Female","Single",32,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,541,8,400,2,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"May",5,"Wednesday","Pontiac","Urban","Wednesday","May",5,"Male","Married",55,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,649,7,400,2,"more than 30","more than 30","more than 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Oct",3,"Thursday","Pontiac","Urban","Monday","Oct",4,"Male","Married",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,575,12,400,3,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","3 to 5","no change","3 to 4",1994,"Collision"
"Aug",2,"Monday","Toyota","Urban","Thursday","Aug",2,"Male","Married",30,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,398,5,400,1,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Feb",3,"Wednesday","Honda","Urban","Friday","Feb",4,"Female","Single",35,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,382,4,400,4,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",1,"Tuesday","Honda","Urban","Tuesday","Jan",1,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,389,15,400,3,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",4,"Sunday","Honda","Urban","Monday","Feb",2,"Male","Married",24,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,787,9,400,2,"more than 30","more than 30","more than 4","5 years","26 to 30","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Dec",4,"Monday","Mazda","Urban","Tuesday","Jan",1,"Male","Single",34,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,202,2,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Feb",3,"Thursday","Mazda","Rural","Thursday","Feb",4,"Male","Married",48,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,848,3,400,2,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jul",3,"Wednesday","Toyota","Urban","Thursday","Jul",3,"Male","Married",76,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,685,13,400,3,"more than 30","more than 30","1","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Dec",4,"Saturday","Pontiac","Urban","Monday","Jan",2,"Male","Married",29,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,200,16,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Jan",4,"Friday","Toyota","Urban","Thursday","Jan",4,"Male","Married",43,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,164,3,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",5,"Friday","Honda","Urban","Friday","Jan",5,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,522,15,400,2,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Mar",1,"Saturday","Toyota","Urban","Monday","Mar",2,"Male","Married",60,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,620,15,400,4,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Oct",3,"Monday","VW","Urban","Tuesday","Oct",3,"Female","Married",51,"Policy Holder","Sedan - Collision","Sedan","40000 to 59000",0,482,5,400,1,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jun",1,"Saturday","Toyota","Urban","Monday","Jun",3,"Male","Married",45,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,719,13,400,3,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Mar",4,"Thursday","Mazda","Urban","Thursday","Mar",4,"Male","Married",55,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,815,8,400,2,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"May",4,"Thursday","Pontiac","Urban","Thursday","May",4,"Male","Married",42,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,319,14,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",4,"Friday","Pontiac","Urban","Wednesday","Mar",5,"Male","Single",32,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,171,2,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"May",4,"Thursday","Accura","Urban","Monday","Jun",2,"Male","Single",50,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,317,12,400,3,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Apr",3,"Monday","Pontiac","Urban","Monday","Apr",3,"Male","Single",39,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,211,3,400,1,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","more than 5","4 to 8 years","2 vehicles",1994,"Collision"
"May",2,"Friday","Pontiac","Urban","Monday","May",3,"Male","Married",42,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,843,11,400,3,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jun",2,"Thursday","Honda","Urban","Friday","Jun",2,"Male","Married",33,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,922,12,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Dec",3,"Wednesday","Mazda","Urban","Thursday","Dec",3,"Male","Married",45,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,874,10,400,4,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Sep",5,"Friday","Mazda","Urban","Monday","Oct",1,"Male","Single",25,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,208,5,400,4,"more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Feb",4,"Tuesday","Toyota","Urban","Wednesday","Feb",4,"Male","Married",48,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,192,6,400,2,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Feb",4,"Friday","Accura","Urban","Friday","Feb",4,"Male","Married",29,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,775,10,400,2,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Mar",3,"Wednesday","Mazda","Rural","Friday","Mar",3,"Male","Married",37,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,730,16,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
